Location,Bedrooms,Bathrooms,Size,Price
Santa Maria-Orcutt,3,1,1249,109900
Santa Maria-Orcutt,4,2,1603,192900
Santa Maria-Orcutt,3,2,1450,215000
Santa Maria-Orcutt,3,2,1750,350000
Santa Maria-Orcutt,3,2,1400,249000
Santa Maria-Orcutt,3,2,1400,235900
Santa Maria-Orcutt,3,2,1600,348000
Santa Maria-Orcutt,2,1,1000,110000
Santa Maria-Orcutt,3,2,1139,200000
Santa Maria-Orcutt,3,1,1080,134900
Santa Maria-Orcutt,4,3,2000,250000
Santa Maria-Orcutt,4,2,1348,239950
Santa Maria-Orcutt,3,2,1280,170000
Santa Maria-Orcutt,3,2,2400,285000
Santa Maria-Orcutt,3,3,1700,279000
Santa Maria-Orcutt,3,2,1600,219000
Santa Maria-Orcutt,3,2,1050,155000
Santa Maria-Orcutt,2,2,1100,140000
Santa Maria-Orcutt,4,3,2351,360000
Santa Maria-Orcutt,4,2,1206,250000
Santa Maria-Orcutt,3,3,2628,559000
Santa Maria-Orcutt,4,3,2580,279000
Santa Maria-Orcutt,4,2,1963,375000
Santa Maria-Orcutt,3,3,1900,330000
Santa Maria-Orcutt,3,3,1450,199000
Santa Maria-Orcutt,2,2,1000,165000
Santa Maria-Orcutt,3,2,1218,255000
Santa Maria-Orcutt,3,4,2250,499000
Santa Maria-Orcutt,3,3,1800,239000
Santa Maria-Orcutt,3,2,1218,195000
Santa Maria-Orcutt,4,3,1877,275000
Santa Maria-Orcutt,3,2,1080,140000
Santa Maria-Orcutt,3,2,1296,167900
Santa Maria-Orcutt,1,1,900,119000
Santa Maria-Orcutt,4,2,1482,245000
Santa Maria-Orcutt,3,2,1726,259900
Santa Maria-Orcutt,4,2,1367,329700
Santa Maria-Orcutt,3,2,1040,149000
Santa Maria-Orcutt,2,1,811,195000
Santa Maria-Orcutt,3,1,1042,129900
Santa Maria-Orcutt,3,2,1440,255900
Santa Maria-Orcutt,5,2,1064,148900
Santa Maria-Orcutt,3,2,1472,189900
Santa Maria-Orcutt,3,3,1582,232600
Santa Maria-Orcutt,4,3,1940,225000
Santa Maria-Orcutt,3,2,1200,161900
Santa Maria-Orcutt,3,3,2013,249999
Santa Maria-Orcutt,2,1,1267,208000
Santa Maria-Orcutt,4,3,2800,399000
Santa Maria-Orcutt,3,2,2000,385000
Santa Maria-Orcutt,3,3,1780,269000
Santa Maria-Orcutt,2,2,1500,29000
Santa Maria-Orcutt,4,3,1857,259000
Santa Maria-Orcutt,4,2,2000,337000
Santa Maria-Orcutt,3,2,1280,180000
Santa Maria-Orcutt,3,2,1424,275000
Santa Maria-Orcutt,3,2,1218,242500
Santa Maria-Orcutt,3,3,1300,259900
Santa Maria-Orcutt,4,3,2014,310000
Santa Maria-Orcutt,2,2,1541,220000
Santa Maria-Orcutt,5,4,2400,324000
Santa Maria-Orcutt,2,2,1014,74900
Santa Maria-Orcutt,3,3,3400,751900
Santa Maria-Orcutt,3,2,1386,295000
Santa Maria-Orcutt,3,2,1376,197000
Santa Maria-Orcutt,3,1,1050,132000
Santa Maria-Orcutt,5,3,2500,290000
Santa Maria-Orcutt,4,3,1963,249000
Santa Maria-Orcutt,3,3,1541,235000
Santa Maria-Orcutt,1,1,731,105000
Santa Maria-Orcutt,3,2,1086,179999
Santa Maria-Orcutt,3,2,1131,219000
Santa Maria-Orcutt,2,1,1100,165000
Santa Maria-Orcutt,3,2,1398,179000
Santa Maria-Orcutt,4,2,1860,235000
Santa Maria-Orcutt,3,2,1269,199000
Santa Maria-Orcutt,3,2,1275,209000
Santa Maria-Orcutt,4,2,1460,240000
Santa Maria-Orcutt,4,2,1750,215000
Santa Maria-Orcutt,4,4,3050,399900
Santa Maria-Orcutt,2,2,1082,180000
Santa Maria-Orcutt,2,2,1100,154000
Santa Maria-Orcutt,3,3,2523,437500
Santa Maria-Orcutt,3,3,2511,299900
Santa Maria-Orcutt,3,2,1400,248000
Santa Maria-Orcutt,3,3,1494,209000
Santa Maria-Orcutt,3,2,1300,185000
Santa Maria-Orcutt,3,2,1200,165000
Santa Maria-Orcutt,3,2,1600,175000
Santa Maria-Orcutt,2,2,1680,78000
Santa Maria-Orcutt,3,3,2714,641900
Santa Maria-Orcutt,2,2,1410,299000
Santa Maria-Orcutt,3,3,1900,229900
Santa Maria-Orcutt,2,3,1200,160000
Santa Maria-Orcutt,3,3,2400,299000
Santa Maria-Orcutt,4,2,1460,270000
Santa Maria-Orcutt,3,3,1800,295000
Santa Maria-Orcutt,3,2,1110,165000
Santa Maria-Orcutt,3,2,1075,157900
Santa Maria-Orcutt,4,2,1650,233000
Santa Maria-Orcutt,2,2,1200,109900
Santa Maria-Orcutt,2,2,1113,209900
Santa Maria-Orcutt,3,2,1300,179000
